"State","County","Median Housing Value, 2024 ($)","Median Property Taxes Paid, 2024 ($)(5-Year Estimate)","Effective Property Tax Rate (2024)"
"Kentucky","Magoffin County","$89,000","694","0.40%"
"Kentucky","Marion County","$168,100","1157","0.60%"
"Kentucky","Marshall County","$173,800","1252","0.67%"
"Kentucky","Martin County","$86,900","716","0.56%"
"Kentucky","Mason County","$161,500","1055","0.64%"
"Kentucky","Meade County","$207,900","1408","0.66%"
"Kentucky","Menifee County","$125,800","644","0.45%"
"Kentucky","Mercer County","$202,300","1672","0.72%"
"Kentucky","Metcalfe County","$110,200","743","0.51%"
"Kentucky","Monroe County","$115,900","891","0.56%"
"Kentucky","Montgomery County","$172,200","1265","0.75%"
"Kentucky","Morgan County","$118,200","780","0.54%"
"Kentucky","Muhlenberg County","$127,400","790","0.59%"
"Kentucky","Nelson County","$238,000","1891","0.74%"
"Kentucky","Nicholas County","$123,000","729","0.51%"
"Kentucky","Ohio County","$121,400","753","0.58%"
"Kentucky","Oldham County","$393,100","3519","0.92%"
"Kentucky","Owen County","$168,700","1220","0.64%"
"Kentucky","Owsley County","$80,100","570","0.58%"
"Kentucky","Pendleton County","$159,800","1275","0.65%"
"Kentucky","Perry County","$91,800","643","0.60%"
"Kentucky","Pike County","$112,000","772","0.64%"
"Kentucky","Powell County","$141,100","875","0.50%"
"Kentucky","Pulaski County","$166,900","1057","0.50%"
"Kentucky","Robertson County","$165,100","893","0.39%"
"Kentucky","Rockcastle County","$123,600","596","0.49%"
"Kentucky","Rowan County","$161,800","885","0.56%"
"Kentucky","Russell County","$163,200","929","0.50%"
"Kentucky","Scott County","$288,500","1908","0.62%"
"Kentucky","Shelby County","$304,800","2339","0.73%"
"Kentucky","Simpson County","$229,400","1371","0.61%"
"Kentucky","Spencer County","$330,000","2188","0.65%"
"Kentucky","Taylor County","$174,200","1202","0.61%"
"Kentucky","Todd County","$166,700","909","0.55%"
"Kentucky","Trigg County","$207,700","1162","0.63%"
"Kentucky","Trimble County","$172,000","1139","0.56%"
"Kentucky","Union County","$104,500","927","0.80%"
"Kentucky","Warren County","$258,000","1668","0.62%"
"Kentucky","Washington County","$179,200","1174","0.58%"
"Kentucky","Wayne County","$135,700","758","0.50%"
"Kentucky","Webster County","$112,900","993","0.68%"
"Kentucky","Whitley County","$131,800","849","0.57%"
"Kentucky","Wolfe County","$75,800","414","0.37%"
"Kentucky","Woodford County","$299,700","2108","0.67%"
"Louisiana","Acadia Parish","$155,500","483","0.36%"
"Louisiana","Allen Parish","$104,500","267","0.34%"
"Louisiana","Ascension Parish","$279,600","1519","0.51%"
"Louisiana","Assumption Parish","$150,300","552","0.37%"
"Louisiana","Avoyelles Parish","$122,400","249","0.22%"
"Louisiana","Beauregard Parish","$161,700","576","0.21%"
"Louisiana","Bienville Parish","$99,500","301","0.24%"
"Louisiana","Bossier Parish","$227,200","1445","0.66%"
"Louisiana","Caddo Parish","$175,700","1085","0.68%"
"Louisiana","Calcasieu Parish","$217,000","968","0.47%"
"Louisiana","Caldwell Parish","$93,300","415","0.29%"
"Louisiana","Cameron Parish","$202,500","936","0.43%"
"Louisiana","Catahoula Parish","$101,800","325","0.25%"
"Louisiana","Claiborne Parish","$82,100","356","0.26%"
"Louisiana","Concordia Parish","$103,800","384","0.31%"
"Louisiana","De Soto Parish","$154,900","540","0.31%"
"Louisiana","East Baton Rouge Parish","$248,800","1656","0.63%"
"Louisiana","East Carroll Parish","$100,500","277","0.32%"
"Louisiana","East Feliciana Parish","$228,100","339","0.20%"
"Louisiana","Evangeline Parish","$124,600","362","0.31%"
"Louisiana","Franklin Parish","$113,000","351","0.25%"
"Louisiana","Grant Parish","$143,300","862","0.33%"
"Louisiana","Iberia Parish","$164,500","593","0.36%"
"Louisiana","Iberville Parish","$172,800","556","0.35%"
"Louisiana","Jackson Parish","$115,600","352","0.24%"
"Louisiana","Jefferson Parish","$251,400","1312","0.57%"
"Louisiana","Jefferson Davis Parish","$150,800","442","0.45%"
"Louisiana","Lafayette Parish","$242,900","1380","0.57%"
"Louisiana","Lafourche Parish","$193,900","1038","0.42%"
"Louisiana","LaSalle Parish","$119,500","532","0.28%"
"Louisiana","Lincoln Parish","$210,100","971","0.46%"
"Louisiana","Livingston Parish","$230,600","1066","0.44%"
"Louisiana","Madison Parish","$96,200","313","0.31%"
"Louisiana","Morehouse Parish","$118,800","530","0.49%"
"Louisiana","Natchitoches Parish","$171,300","755","0.40%"
"Louisiana","Orleans Parish","$315,700","2606","0.85%"
"Louisiana","Ouachita Parish","$194,400","1054","0.52%"
"Louisiana","Plaquemines Parish","$282,900","1427","0.43%"
"Louisiana","Pointe Coupee Parish","$179,300","565","0.32%"
"Louisiana","Rapides Parish","$181,100","1000","0.48%"
"Louisiana","Red River Parish","$119,700","506","0.21%"
"Louisiana","Richland Parish","$141,900","401","0.23%"
"Louisiana","Sabine Parish","$123,100","484","0.25%"
"Louisiana","St. Bernard Parish","$202,500","961","0.34%"
"Louisiana","St. Charles Parish","$263,700","1562","0.54%"
"Louisiana","St. Helena Parish","$77,300","469","0.13%"
"Louisiana","St. James Parish","$211,800","1113","0.47%"
"Louisiana","St. John the Baptist Parish","$193,200","877","0.42%"
"Louisiana","St. Landry Parish","$142,500","411","0.25%"
"Louisiana","St. Martin Parish","$164,200","725","0.35%"
"Louisiana","St. Mary Parish","$138,900","545","0.38%"
"Louisiana","St. Tammany Parish","$284,000","2028","0.71%"
"Louisiana","Tangipahoa Parish","$212,900","882","0.34%"
"Louisiana","Tensas Parish","$86,300","221","0.33%"
"Louisiana","Terrebonne Parish","$187,200","836","0.40%"
"Louisiana","Union Parish","$112,500","518","0.32%"
"Louisiana","Vermilion Parish","$163,300","589","0.33%"
"Louisiana","Vernon Parish","$156,000","819","0.27%"
"Louisiana","Washington Parish","$155,700","507","0.27%"
"Louisiana","Webster Parish","$114,500","412","0.29%"
"Louisiana","West Baton Rouge Parish","$229,900","1251","0.47%"
"Louisiana","West Carroll Parish","$94,400","200-","0.13%"
"Louisiana","West Feliciana Parish","$245,700","1556","0.43%"
"Louisiana","Winn Parish","$108,500","325","0.19%"
"Maine","Androscoggin County","$252,800","2940","1.19%"
"Maine","Aroostook County","$149,700","1672","1.06%"
"Maine","Cumberland County","$451,200","4707","1.01%"
"Maine","Franklin County","$194,700","2027","0.99%"
"Maine","Hancock County","$310,400","2561","0.84%"
"Maine","Kennebec County","$238,200","2605","1.04%"
"Maine","Knox County","$324,900","3786","1.08%"
"Maine","Lincoln County","$332,700","2828","0.85%"
"Maine","Oxford County","$217,300","2162","0.87%"
"Maine","Penobscot County","$214,100","2481","1.11%"
"Maine","Piscataquis County","$170,200","1537","0.78%"
"Maine","Sagadahoc County","$333,300","3470","0.99%"
"Maine","Somerset County","$166,900","1798","0.99%"
"Maine","Waldo County","$257,700","2684","1.00%"
"Maine","Washington County","$161,800","1683","0.93%"
"Maine","York County","$395,700","3787","0.89%"
"Maryland","Allegany County","$154,900","1636","0.94%"
"Maryland","Anne Arundel County","$467,900","3957","0.80%"
"Maryland","Baltimore County","$349,300","3736","0.96%"
"Maryland","Calvert County","$460,200","3885","0.83%"
"Maryland","Caroline County","$290,100","2619","0.75%"
"Maryland","Carroll County","$434,000","3934","0.87%"
"Maryland","Cecil County","$343,400","3068","0.86%"
"Maryland","Charles County","$428,500","4339","0.97%"
"Maryland","Dorchester County","$262,400","2456","0.84%"
"Maryland","Frederick County","$464,600","4584","0.94%"
"Maryland","Garrett County","$235,300","1836","0.72%"
"Maryland","Harford County","$386,400","3448","0.83%"
"Maryland","Howard County","$597,900","6987","1.11%"
"Maryland","Kent County","$330,900","3025","0.92%"
"Maryland","Montgomery County","$640,300","5539","0.85%"
"Maryland","Prince George's County","$426,000","4771","1.06%"
"Maryland","Queen Anne's County","$462,700","3623","0.74%"
"Maryland","St. Mary's County","$407,600","3424","0.77%"
"Maryland","Somerset County","$173,200","1591","0.70%"
"Maryland","Talbot County","$409,700","2647","0.56%"
"Maryland","Washington County","$296,100","2481","0.81%"
"Maryland","Wicomico County","$254,700","2171","0.77%"
"Maryland","Worcester County","$374,700","2738","0.73%"
"Maryland","Baltimore city","$229,600","3354","1.37%"
"Massachusetts","Barnstable County","$629,000","4239","0.65%"
"Massachusetts","Berkshire County","$305,400","4036","1.13%"
"Massachusetts","Bristol County","$451,200","4807","1.03%"
"Massachusetts","Dukes County","$1,165,800","5828","0.46%"
"Massachusetts","Essex County","$619,100","6430","1.02%"
"Massachusetts","Franklin County","$329,000","4720","1.32%"
"Massachusetts","Hampden County","$298,800","4455","1.41%"
"Massachusetts","Hampshire County","$390,300","5589","1.36%"
"Massachusetts","Middlesex County","$727,800","7501","1.01%"
"Massachusetts","Nantucket County","$1,593,800","3974","0.27%"
"Massachusetts","Norfolk County","$683,900","7261","1.02%"
"Massachusetts","Plymouth County","$556,000","6502","1.06%"
"Massachusetts","Suffolk County","$705,800","4649","0.69%"
"Massachusetts","Worcester County","$423,700","5438","1.25%"
"Michigan","Alcona County","$162,800","1341","0.81%"
"Michigan","Alger County","$176,200","1656","0.89%"
"Michigan","Allegan County","$267,100","2884","1.00%"
"Michigan","Alpena County","$153,900","1639","1.01%"
"Michigan","Antrim County","$255,500","2157","0.80%"
"Michigan","Arenac County","$150,600","1707","1.00%"
"Michigan","Baraga County","$138,100","1679","0.86%"
"Michigan","Barry County","$264,100","2769","0.96%"
"Michigan","Bay County","$152,200","2271","1.31%"
"Michigan","Benzie County","$285,700","2262","0.77%"
"Michigan","Berrien County","$224,300","2429","1.02%"
"Michigan","Branch County","$162,500","1879","1.01%"
"Michigan","Calhoun County","$162,800","2368","1.34%"
"Michigan","Cass County","$218,000","2116","0.93%"
"Michigan","Charlevoix County","$276,800","2493","0.84%"
"Michigan","Cheboygan County","$192,500","1704","0.87%"
"Michigan","Chippewa County","$161,900","2038","1.12%"
"Michigan","Clare County","$133,800","1489","0.99%"
"Michigan","Clinton County","$259,500","3185","1.19%"
"Michigan","Crawford County","$163,000","1734","1.00%"
"Michigan","Delta County","$157,100","1771","1.06%"
"Michigan","Dickinson County","$153,300","1940","1.15%"
"Michigan","Eaton County","$216,900","3067","1.34%"
"Michigan","Emmet County","$315,700","2634","0.82%"
"Michigan","Genesee County","$182,400","2487","1.25%"
"Michigan","Gladwin County","$162,300","1867","1.01%"
"Michigan","Gogebic County","$107,200","1535","1.22%"
"Michigan","Grand Traverse County","$339,400","3010","0.84%"
"Michigan","Gratiot County","$147,500","1826","1.10%"
"Michigan","Hillsdale County","$176,100","1738","0.91%"
"Michigan","Houghton County","$159,900","1858","1.13%"
"Michigan","Huron County","$154,300","1829","1.07%"
"Michigan","Ingham County","$198,800","3640","1.76%"
"Michigan","Ionia County","$198,500","2237","1.00%"
"Michigan","Iosco County","$142,200","1359","0.88%"
"Michigan","Iron County","$109,100","1467","1.05%"
"Michigan","Isabella County","$170,400","2276","1.17%"
"Michigan","Jackson County","$193,700","2432","1.11%"
"Michigan","Kalamazoo County","$241,800","3498","1.35%"
"Michigan","Kalkaska County","$188,900","1646","0.88%"
"Michigan","Kent County","$289,900","3217","1.05%"
"Michigan","Keweenaw County","$169,800","1689","1.00%"
"Michigan","Lake County","$133,900","1456","0.81%"
"Michigan","Lapeer County","$239,000","2202","0.81%"
"Michigan","Leelanau County","$458,400","3118","0.66%"
"Michigan","Lenawee County","$196,800","2492","1.15%"
"Michigan","Livingston County","$356,800","3454","0.95%"
"Michigan","Luce County","$112,000","1097","0.77%"
"Michigan","Mackinac County","$174,500","1863","0.86%"
"Michigan","Macomb County","$243,900","3404","1.23%"
"Michigan","Manistee County","$182,200","1898","0.91%"
"Michigan","Marquette County","$216,500","2109","0.99%"
"Michigan","Mason County","$219,600","2334","0.98%"
"Michigan","Mecosta County","$178,900","1778","0.93%"
"Michigan","Menominee County","$151,800","1537","0.93%"
"Michigan","Midland County","$195,400","2875","1.39%"
"Michigan","Missaukee County","$170,400","1675","0.83%"
"Michigan","Monroe County","$228,900","2648","1.04%"
"Michigan","Montcalm County","$185,500","1876","0.99%"
"Michigan","Montmorency County","$158,600","1364","0.84%"
"Michigan","Muskegon County","$198,300","2348","1.10%"
"Michigan","Newaygo County","$186,700","2055","0.98%"
"Michigan","Oakland County","$343,600","4371","1.25%"
"Michigan","Oceana County","$190,100","1914","0.82%"
"Michigan","Ogemaw County","$154,900","1464","0.91%"
"Michigan","Ontonagon County","$111,700","1294","1.13%"
"Michigan","Osceola County","$155,400","1584","0.91%"
"Michigan","Oscoda County","$125,500","1177","0.79%"
"Michigan","Otsego County","$219,700","1755","0.77%"
"Michigan","Ottawa County","$323,400","3313","1.03%"
"Michigan","Presque Isle County","$151,300","1432","0.85%"
"Michigan","Roscommon County","$158,700","1604","0.89%"
"Michigan","Saginaw County","$152,800","2284","1.34%"
"Michigan","St. Clair County","$224,600","2562","1.04%"
"Michigan","St. Joseph County","$178,300","1959","1.01%"
"Michigan","Sanilac County","$168,300","1520","0.80%"
"Michigan","Schoolcraft County","$141,800","1407","0.89%"
"Michigan","Shiawassee County","$171,600","2251","1.12%"
"Michigan","Tuscola County","$149,500","1812","1.09%"
"Michigan","Van Buren County","$206,500","2536","1.11%"
"Michigan","Washtenaw County","$374,100","5678","1.46%"
"Michigan","Wayne County","$178,500","2904","1.47%"
"Michigan","Wexford County","$170,400","1927","1.06%"
"Minnesota","Aitkin County","$255,800","1407","0.58%"
"Minnesota","Anoka County","$346,500","3271","0.94%"
"Minnesota","Becker County","$291,000","2014","0.70%"
"Minnesota","Beltrami County","$237,500","2309","0.80%"
"Minnesota","Benton County","$271,000","2651","0.92%"
"Minnesota","Big Stone County","$169,100","1473","0.87%"
"Minnesota","Blue Earth County","$266,700","2601","0.96%"
"Minnesota","Brown County","$191,200","1976","1.00%"
"Minnesota","Carlton County","$245,100","2862","1.08%"
"Minnesota","Carver County","$453,600","4501","0.96%"
"Minnesota","Cass County","$288,300","1615","0.56%"
"Minnesota","Chippewa County","$156,100","1711","1.03%"
"Minnesota","Chisago County","$351,900","3780","1.02%"
"Minnesota","Clay County","$265,500","3013","1.11%"
"Minnesota","Clearwater County","$192,100","1295","0.69%"
"Minnesota","Cook County","$336,200","2304","0.69%"
"Minnesota","Cottonwood County","$169,300","1781","1.05%"
"Minnesota","Crow Wing County","$306,800","2283","0.72%"
"Minnesota","Dakota County","$381,000","3749","0.96%"
"Minnesota","Dodge County","$287,700","3191","1.01%"
"Minnesota","Douglas County","$321,400","2674","0.84%"
"Minnesota","Faribault County","$135,300","1334","0.90%"
"Minnesota","Fillmore County","$221,100","2076","0.81%"
"Minnesota","Freeborn County","$171,100","1907","1.08%"
"Minnesota","Goodhue County","$285,100","2998","0.98%"
"Minnesota","Grant County","$191,000","1783","0.86%"
"Minnesota","Hennepin County","$392,900","4480","1.10%"
"Minnesota","Houston County","$239,000","2756","1.03%"
"Minnesota","Hubbard County","$282,600","2217","0.74%"
"Minnesota","Isanti County","$306,200","3081","0.97%"
"Minnesota","Itasca County","$225,200","1945","0.86%"
"Minnesota","Jackson County","$157,100","1460","0.84%"
"Minnesota","Kanabec County","$228,100","2582","1.08%"
"Minnesota","Kandiyohi County","$243,200","2492","0.91%"
"Minnesota","Kittson County","$134,800","1239","0.81%"
"Minnesota","Koochiching County","$156,600","1156","0.79%"
"Minnesota","Lac qui Parle County","$157,600","1422","0.90%"
"Minnesota","Lake County","$241,300","1765","0.61%"
"Minnesota","Lake of the Woods County","$216,100","1419","0.82%"
"Minnesota","Le Sueur County","$316,500","3366","0.98%"
"Minnesota","Lincoln County","$164,400","1574","0.90%"
"Minnesota","Lyon County","$200,700","2126","0.98%"
"Minnesota","McLeod County","$246,100","2840","1.09%"
"Minnesota","Mahnomen County","$161,900","1509","0.87%"
"Minnesota","Marshall County","$164,500","1315","0.82%"
"Minnesota","Martin County","$163,500","1671","1.00%"
"Minnesota","Meeker County","$249,000","2243","0.83%"
"Minnesota","Mille Lacs County","$258,300","2698","0.96%"
"Minnesota","Morrison County","$248,500","2190","0.81%"
"Minnesota","Mower County","$185,200","1907","0.98%"
"Minnesota","Murray County","$185,400","1471","0.75%"
"Minnesota","Nicollet County","$270,300","3046","1.04%"
"Minnesota","Nobles County","$197,200","1956","0.86%"
"Minnesota","Norman County","$147,100","1378","0.91%"
"Minnesota","Olmsted County","$331,700","3525","1.01%"
"Minnesota","Otter Tail County","$273,000","2093","0.73%"
"Minnesota","Pennington County","$195,500","2458","1.08%"
"Minnesota","Pine County","$239,300","2068","0.83%"
"Minnesota","Pipestone County","$140,200","1209","0.83%"
"Minnesota","Polk County","$222,800","2245","1.01%"
"Minnesota","Pope County","$255,100","1967","0.69%"
"Minnesota","Ramsey County","$326,600","3966","1.19%"
"Minnesota","Red Lake County","$162,000","1622","1.01%"
"Minnesota","Redwood County","$158,200","1581","0.82%"
"Minnesota","Renville County","$163,200","1691","1.01%"
"Minnesota","Rice County","$320,200","3115","1.01%"
"Minnesota","Rock County","$224,300","1590","0.73%"
"Minnesota","Roseau County","$183,700","1779","0.94%"
"Minnesota","St. Louis County","$221,400","2271","1.02%"
"Minnesota","Scott County","$419,400","4230","0.95%"
"Minnesota","Sherburne County","$361,400","3560","0.95%"
"Minnesota","Sibley County","$231,900","2544","0.95%"
"Minnesota","Stearns County","$273,400","2742","0.91%"
"Minnesota","Steele County","$245,400","2964","1.16%"
"Minnesota","Stevens County","$202,800","1634","0.82%"
"Minnesota","Swift County","$161,400","1386","0.80%"
"Minnesota","Todd County","$207,700","1982","0.95%"
"Minnesota","Traverse County","$114,100","1126","0.92%"
"Minnesota","Wabasha County","$264,400","2785","0.95%"
"Minnesota","Wadena County","$173,000","1806","1.01%"
"Minnesota","Waseca County","$220,800","2603","1.13%"
"Minnesota","Washington County","$422,000","4164","0.94%"
"Minnesota","Watonwan County","$162,400","1700","1.02%"
"Minnesota","Wilkin County","$182,200","1435","0.91%"
"Minnesota","Winona County","$235,400","2180","0.86%"
"Minnesota","Wright County","$358,900","3523","0.95%"
"Minnesota","Yellow Medicine County","$154,700","1606","0.96%"
"Mississippi","Adams County","$108,700","974","0.51%"
"Mississippi","Alcorn County","$142,100","831","0.46%"
"Mississippi","Amite County","$100,800","386","0.33%"
"Mississippi","Attala County","$104,600","707","0.54%"
"Mississippi","Benton County","$105,100","720","0.39%"
"Mississippi","Bolivar County","$130,000","950","0.55%"
"Mississippi","Calhoun County","$90,300","600","0.55%"
"Mississippi","Carroll County","$109,600","577","0.51%"
"Mississippi","Chickasaw County","$109,800","800","0.42%"
"Mississippi","Choctaw County","$117,200","563","0.40%"
"Mississippi","Claiborne County","$82,700","403","0.31%"
"Mississippi","Clarke County","$118,100","666","0.41%"
"Mississippi","Clay County","$129,100","810","0.57%"
"Mississippi","Coahoma County","$90,300","1012","0.75%"
"Mississippi","Copiah County","$114,100","820","0.42%"
"Mississippi","Covington County","$105,100","619","0.41%"
"Mississippi","DeSoto County","$269,600","1613","0.53%"
"Mississippi","Forrest County","$168,000","1361","0.70%"
"Mississippi","Franklin County","$101,900","739","0.54%"
"Mississippi","George County","$166,900","1044","0.53%"
"Mississippi","Greene County","$92,700","791","0.52%"
"Mississippi","Grenada County","$132,200","1355","0.75%"
"Mississippi","Hancock County","$224,200","1583","0.66%"
"Mississippi","Harrison County","$212,200","1370","0.59%"
"Mississippi","Hinds County","$159,900","1403","0.72%"
"Mississippi","Holmes County","$80,400","690","0.51%"
"Mississippi","Humphreys County","$87,800","861","0.74%"
"Mississippi","Issaquena County","$110,800","n.a.","0.32%"
"Mississippi","Itawamba County","$142,400","835","0.42%"
"Mississippi","Jackson County","$193,100","1366","0.67%"
"Mississippi","Jasper County","$107,100","737","0.41%"
"Mississippi","Jefferson County","$81,300","698","0.62%"
"Mississippi","Jefferson Davis County","$90,100","800","0.53%"
"Mississippi","Jones County","$143,100","1053","0.70%"
"Mississippi","Kemper County","$99,600","563","0.49%"
"Mississippi","Lafayette County","$315,400","1719","0.52%"
"Mississippi","Lamar County","$224,700","1479","0.63%"
"Mississippi","Lauderdale County","$133,300","1228","0.65%"
"Mississippi","Lawrence County","$100,000","674","0.61%"
"Mississippi","Leake County","$116,800","778","0.58%"
"Mississippi","Lee County","$199,500","1384","0.70%"
"Mississippi","Leflore County","$101,200","1033","0.77%"
"Mississippi","Lincoln County","$155,800","1089","0.57%"
"Mississippi","Lowndes County","$164,100","992","0.54%"
"Mississippi","Madison County","$311,100","2108","0.62%"
"Mississippi","Marion County","$122,800","922","0.57%"
"Mississippi","Marshall County","$167,900","1213","0.60%"
"Mississippi","Monroe County","$120,800","843","0.48%"
"Mississippi","Montgomery County","$126,800","1269","0.81%"
"Mississippi","Neshoba County","$100,000","893","0.53%"
"Mississippi","Newton County","$106,300","778","0.49%"
"Mississippi","Noxubee County","$90,800","868","0.39%"
"Mississippi","Oktibbeha County","$237,700","1691","0.69%"
"Mississippi","Panola County","$127,800","826","0.56%"
"Mississippi","Pearl River County","$182,300","1189","0.58%"
"Mississippi","Perry County","$124,000","763","0.44%"
"Mississippi","Pike County","$110,800","975","0.60%"
"Mississippi","Pontotoc County","$157,100","911","0.50%"
"Mississippi","Prentiss County","$122,500","894","0.48%"
"Mississippi","Quitman County","$69,600","740","0.72%"
"Mississippi","Rankin County","$237,400","1428","0.58%"
"Mississippi","Scott County","$106,700","710","0.51%"
"Mississippi","Sharkey County","$98,000","861","0.72%"
"Mississippi","Simpson County","$122,200","751","0.44%"
"Mississippi","Smith County","$112,600","469","0.38%"
"Mississippi","Stone County","$161,100","1134","0.49%"
"Mississippi","Sunflower County","$100,300","930","0.65%"
"Mississippi","Tallahatchie County","$82,300","503","0.45%"
"Mississippi","Tate County","$209,000","1354","0.63%"
"Mississippi","Tippah County","$124,100","956","0.56%"
"Mississippi","Tishomingo County","$145,100","705","0.34%"
"Mississippi","Tunica County","$175,900","940","0.45%"
"Mississippi","Union County","$163,400","918","0.42%"
"Mississippi","Walthall County","$126,600","913","0.49%"
"Mississippi","Warren County","$156,400","1244","0.47%"
"Mississippi","Washington County","$104,000","891","0.92%"
"Mississippi","Wayne County","$91,100","578","0.47%"
"Mississippi","Webster County","$120,100","821","0.44%"
"Mississippi","Wilkinson County","$90,000","895","0.62%"
"Mississippi","Winston County","$124,600","806","0.49%"
"Mississippi","Yalobusha County","$122,300","809","0.47%"
"Mississippi","Yazoo County","$153,800","1197","0.53%"
"Missouri","Adair County","$165,700","1276","0.67%"
"Missouri","Andrew County","$215,400","1568","0.69%"
"Missouri","Atchison County","$106,800","1241","1.06%"
"Missouri","Audrain County","$143,100","1131","0.72%"
"Missouri","Barry County","$187,800","988","0.46%"
"Missouri","Barton County","$136,500","963","0.59%"
"Missouri","Bates County","$170,800","1039","0.56%"
"Missouri","Benton County","$177,900","937","0.47%"
"Missouri","Bollinger County","$179,800","1034","0.48%"
"Missouri","Boone County","$272,800","2328","0.82%"
"Missouri","Buchanan County","$166,300","1281","0.74%"
"Missouri","Butler County","$145,100","967","0.64%"
"Missouri","Caldwell County","$166,500","1338","0.64%"
"Missouri","Callaway County","$201,600","1548","0.66%"
"Missouri","Camden County","$305,400","1426","0.46%"
"Missouri","Cape Girardeau County","$220,700","1421","0.63%"
"Missouri","Carroll County","$117,500","924","0.69%"
"Missouri","Carter County","$159,400","677","0.44%"
"Missouri","Cass County","$292,400","2504","0.83%"
"Missouri","Cedar County","$168,100","1044","0.59%"
"Missouri","Chariton County","$160,900","1032","0.69%"
"Missouri","Christian County","$274,900","1938","0.69%"
"Missouri","Clark County","$130,700","1134","0.66%"
"Missouri","Clay County","$275,600","2941","1.06%"
"Missouri","Clinton County","$226,800","1845","0.72%"
"Missouri","Cole County","$229,600","1769","0.73%"
"Missouri","Cooper County","$203,500","1334","0.63%"
"Missouri","Crawford County","$172,600","972","0.51%"
"Missouri","Dade County","$170,600","1055","0.57%"
"Missouri","Dallas County","$190,300","756","0.42%"
"Missouri","Daviess County","$161,800","1067","0.49%"
"Missouri","DeKalb County","$169,200","1285","0.59%"
"Missouri","Dent County","$167,500","878","0.35%"
"Missouri","Douglas County","$168,200","740","0.38%"
"Missouri","Dunklin County","$97,600","688","0.71%"
"Missouri","Franklin County","$227,600","1813","0.73%"
"Missouri","Gasconade County","$179,900","1315","0.63%"
"Missouri","Gentry County","$134,000","1249","0.74%"
"Missouri","Greene County","$221,300","1572","0.72%"
"Missouri","Grundy County","$112,500","1125","0.77%"
"Missouri","Harrison County","$109,500","973","0.80%"
"Missouri","Henry County","$160,600","1296","0.62%"
"Missouri","Hickory County","$176,100","722","0.40%"
"Missouri","Holt County","$138,200","967","0.79%"
"Missouri","Howard County","$159,400","1227","0.53%"
"Missouri","Howell County","$173,000","872","0.44%"
"Missouri","Iron County","$119,300","810","0.49%"
"Missouri","Jackson County","$230,500","2575","1.13%"
"Missouri","Jasper County","$166,900","1196","0.68%"
"Missouri","Jefferson County","$237,200","1906","0.80%"
"Missouri","Johnson County","$235,700","1565","0.69%"
"Missouri","Knox County","$101,400","842","0.65%"
"Missouri","Laclede County","$168,400","1011","0.54%"
"Missouri","Lafayette County","$216,500","1581","0.69%"
"Missouri","Lawrence County","$175,100","1032","0.49%"
"Missouri","Lewis County","$130,200","919","0.64%"
"Missouri","Lincoln County","$244,300","1811","0.69%"
"Missouri","Linn County","$123,300","888","0.70%"
"Missouri","Livingston County","$147,700","1202","0.75%"
"Missouri","McDonald County","$154,700","712","0.35%"
"Missouri","Macon County","$149,100","1035","0.65%"
"Missouri","Madison County","$159,000","1130","0.64%"
"Missouri","Maries County","$219,100","1115","0.45%"
"Missouri","Marion County","$162,000","1335","0.75%"
"Missouri","Mercer County","$104,900","1006","0.69%"
"Missouri","Miller County","$192,600","1102","0.55%"
"Missouri","Mississippi County","$109,000","880","0.77%"
"Missouri","Moniteau County","$181,900","1245","0.61%"
"Missouri","Monroe County","$149,300","1192","0.74%"
"Missouri","Montgomery County","$178,700","1351","0.58%"
"Missouri","Morgan County","$194,400","1082","0.48%"
"Missouri","New Madrid County","$111,800","814","0.67%"
"Missouri","Newton County","$190,700","1207","0.62%"
"Missouri","Nodaway County","$177,500","1368","0.78%"
"Missouri","Oregon County","$113,300","627","0.49%"
"Missouri","Osage County","$223,300","1307","0.51%"
"Missouri","Ozark County","$168,600","737","0.43%"
"Missouri","Pemiscot County","$97,000","925","0.79%"
"Missouri","Perry County","$188,200","1395","0.57%"
"Missouri","Pettis County","$166,300","1289","0.65%"
"Missouri","Phelps County","$206,500","1312","0.63%"
"Missouri","Pike County","$146,000","979","0.61%"
"Missouri","Platte County","$345,100","3613","1.04%"
"Missouri","Polk County","$205,800","1137","0.52%"
"Missouri","Pulaski County","$189,800","1159","0.60%"
"Missouri","Putnam County","$119,500","1211","0.86%"
"Missouri","Ralls County","$168,200","1229","0.64%"
"Missouri","Randolph County","$159,300","1235","0.81%"
"Missouri","Ray County","$198,800","1594","0.72%"
"Missouri","Reynolds County","$151,700","560","0.42%"
"Missouri","Ripley County","$119,600","550","0.48%"
"Missouri","St. Charles County","$320,800","3480","1.06%"
"Missouri","St. Clair County","$157,100","966","0.51%"
"Missouri","Ste. Genevieve County","$222,200","1395","0.66%"
"Missouri","St. Francois County","$169,300","1188","0.63%"
"Missouri","St. Louis County","$276,800","3335","1.14%"
"Missouri","Saline County","$150,500","1177","0.66%"
"Missouri","Schuyler County","$137,500","1083","0.72%"
"Missouri","Scotland County","$158,800","1248","0.65%"
"Missouri","Scott County","$154,400","957","0.58%"
"Missouri","Shannon County","$157,500","676","0.36%"
"Missouri","Shelby County","$99,900","860","0.81%"
"Missouri","Stoddard County","$143,300","939","0.67%"
"Missouri","Stone County","$249,000","1168","0.44%"
"Missouri","Sullivan County","$115,600","795","0.56%"
